unique_id,display_id,vehicle_type,direction,cardinal_direction,confidence,frame_detected,timestamp,source_file
81231261,863,Bus (2-Axle),eastbound,stationary,0.488993763923645,8492,2025-10-11T18:57:36.827111,ch02_20220108175448.mp4
f7722b56,867,Car,eastbound,stationary,0.4203013479709625,8523,2025-10-11T18:57:40.217206,ch02_20220108175448.mp4
e4708d1b,870,Car,westbound,stationary,0.5596209168434143,8563,2025-10-11T18:57:44.568273,ch02_20220108175448.mp4
1bf8d5a5,871,Car,westbound,stationary,0.40835294127464294,8567,2025-10-11T18:57:45.017510,ch02_20220108175448.mp4
76bce834,872,2-Wheeler,westbound,stationary,0.44153374433517456,8568,2025-10-11T18:57:45.119582,ch02_20220108175448.mp4
412dfe12,875,2-Wheeler,westbound,stationary,0.40565964579582214,8605,2025-10-11T18:57:49.187488,ch02_20220108175448.mp4
c8c12b4e,876,Bus (2-Axle),eastbound,stationary,0.5293118357658386,8617,2025-10-11T18:57:50.527306,ch02_20220108175448.mp4
20df09e3,881,Bus (2-Axle),eastbound,stationary,0.4333600699901581,8721,2025-10-11T18:58:02.057301,ch02_20220108175448.mp4
4d570576,882,Truck (3-Axle),southbound,stationary,0.7943533658981323,8736,2025-10-11T18:58:03.717185,ch02_20220108175448.mp4
001e8016,883,Truck (Multi-Axle),southbound,westbound,0.8659753799438477,8750,2025-10-11T18:58:05.267197,ch02_20220108175448.mp4
a4013d02,886,Car,eastbound,stationary,0.4374186396598816,8785,2025-10-11T18:58:09.157571,ch02_20220108175448.mp4
6bb3a91c,887,Truck (2-Axle),eastbound,stationary,0.4552648365497589,8904,2025-10-11T18:58:22.297392,ch02_20220108175448.mp4
a8d0cdc0,888,Car,eastbound,stationary,0.40752503275871277,8931,2025-10-11T18:58:25.302143,ch02_20220108175448.mp4
29837fb3,889,Truck (2-Axle),eastbound,stationary,0.43273910880088806,8943,2025-10-11T18:58:26.587204,ch02_20220108175448.mp4
8d5e0760,890,2-Wheeler,westbound,stationary,0.4395141899585724,8959,2025-10-11T18:58:28.359854,ch02_20220108175448.mp4
880bba92,892,2-Wheeler,westbound,eastbound,0.4492417573928833,9018,2025-10-11T18:58:34.867263,ch02_20220108175448.mp4
329a255e,895,Truck (2-Axle),eastbound,southbound,0.421933650970459,9075,2025-10-11T18:58:41.167422,ch02_20220108175448.mp4
31b727c0,897,Car,eastbound,stationary,0.430728942155838,9110,2025-10-11T18:58:45.037413,ch02_20220108175448.mp4
95985d28,901,Bus (2-Axle),eastbound,stationary,0.42255812883377075,9141,2025-10-11T18:58:48.477293,ch02_20220108175448.mp4
79d6137f,902,Car,eastbound,stationary,0.49150970578193665,9149,2025-10-11T18:58:49.367184,ch02_20220108175448.mp4
1b69d2a5,910,Bus (2-Axle),eastbound,stationary,0.4210548400878906,9210,2025-10-11T18:58:56.121569,ch02_20220108175448.mp4
